"id_problema";"concepto";"tipo_ticket"
"1";"FORMATEO DE EQUIPO";"SOPORTE TECNICO"
"2";"ACTUALIZACIÓN DE SISTEMA OPERATIVO";"SOPORTE TECNICO"
"3";"ANTIVIRUS";"SOPORTE TECNICO"
"4";"ASIGNACIÓN DE EQUIPOS INFORMÁTICOS";"SOPORTE TECNICO"
"5";"CONFIGURACIÓN DE ESCANER";"SOPORTE TECNICO"
"6";"CONFIGURACIÓN DE IMPRESORA";"SOPORTE TECNICO"
"7";"IMUNIZACIÓN DE MEMORIA USB";"SOPORTE TECNICO"
"8";"RESPALDO DE INFORMACIÓN";"SOPORTE TECNICO"
"9";"SISTEMA OPERATIVO NO ARRANCA";"SOPORTE TECNICO"
"10";"SOLICITUD DE EQUIPOS INFORMÁTICOS";"SOPORTE TECNICO"
"11";"BAJA DE BIENES INFORMÁTICOS";"SOPORTE TECNICO"
"12";"ACTUALIZACIÓN O INSTALACIÓN DE PAQUETERÍA (solo en sistemas)";"SOPORTE TECNICO"
"13";"TINTAS Y TONER";"SOPORTE TECNICO"
"14";"MANTENIMIENTO PREVENTIVO Y CORRECTIVO";"SOPORTE TECNICO"
"15";"PROBLEMAS CON DISPOSITIVOS PERIFÉRICOS";"SOPORTE TECNICO"
"16";"MONITOR NO ENCIENDE";"SOPORTE TECNICO"
"17";"FALLAS EN LA IMPRESORA O MULTIFUNCIONAL";"SOPORTE TECNICO"
"18";"INTALACIÓN Y/O REUBICACIÓN DE EQUIPOS ";"SOPORTE TECNICO"
"19";"FALLAS EN UPS / NO BREAK";"SOPORTE TECNICO"
"20";"FALLAS EN ESCANER";"SOPORTE TECNICO"
"21";"FALLAS EN COMPONENTES DEL CPU";"SOPORTE TECNICO"
"22";"CPU NO ENCIENDE";"SOPORTE TECNICO"
"23";"GARANTÍAS A EQUIPOS DE CÓMPUTO";"SOPORTE TECNICO"
"24";"FALLAS EN MONITOR";"SOPORTE TECNICO"
"25";"CREACIÓN Y PERMISOS DE USUARIO";"SISTEMAS"
"26";"ASIGNAR IP";"SISTEMAS"
"27";"CAMBIO DE CONTRASEÑA";"SISTEMAS"
"28";"ESCANER SIN RED ";"SISTEMAS"
"29";"IMPRESORA SIN RED";"SISTEMAS"
"30";"INSTALAR GRP";"SISTEMAS"
"31";"NUEVA CARPETA COMPARTIDA EN RED";"SISTEMAS"
"32";"PROBLEMA EN EL SISTEMA";"SISTEMAS"
"33";"PROBLEMAS CON EL WIFI";"SISTEMAS"
"34";"PROBLEMAS EN CARPETA COMPARTIDA";"SISTEMAS"
"35";"SIN INTERNET";"SISTEMAS"
"36";"PROBLEMA CON EL INTERNET";"SISTEMAS"
"37";"FALLA EN EXTENSIÓN";"SISTEMAS"
"38";"CONEXIÓN DE IMPRESORA";"SISTEMAS"
"39";"PROBLEMAS EN APLICACIÓN DE BBVA";"SISTEMAS"
"40";"FALLAS EN EL TOMATURNO";"SISTEMAS"
"41";"PROBLEMAS EN META 4";"SISTEMAS"
"42";"PROBLEMAS CON TELÉFONOS IP";"SISTEMAS"
"43";"SIN ACCESO A PÁGINA WEB";"SISTEMAS"
"44";"PROBLEMAS CON LINEAS TELEFÓNICAS ";"SISTEMAS"
"45";"ASIGNACIÓN DE LINEAS TELEFÓNICAS ";"SISTEMAS"
"46";"SOLICITUD DE INTERNET";"SISTEMAS"
"47";"PROBLEMAS DEL GRP";"SISTEMAS"
"48";"Baja de equipo telefonico";"SISTEMAS"
"49";"INSTALACIÒN Y/O REUBICACIÒN DE LINEAS TELEFÒNICAS";"SISTEMAS"
"50";"DESARROLLO DE SISTEMAS";"SISTEMAS"
"51";"INSTALACIÒN Y CONFIGURACIÒN DE VPN ";"SISTEMAS"
"52";"PROBLEMA CON LA INSTALACION DE RED";"SISTEMAS"
"53";"RECUPERACIÒN DE INFORMACIÒN";"SISTEMAS"
"54";"SISTEMA DE CONTABILIDAD (CONTPAQI)";"SISTEMAS"
